NumberOfVehicles,CrashDate,CrashTime,DayOfWeek,TypeOfCollision,LocationOfFirstHarmfulEvent,RoadwaySurfaceType,RoadwayDefect,LightCondition_Category,LightCondition_Value,RoadwayDescription,WorkZoneLocation,WeatherCondition,RoadwayAlignment,WorkZoneWorkersPresent,SchoolZone,IntersectionType,WorkZoneType,TrafficControlType,RoadwaySurfaceCondition,RelationToRoadway_Category,RelationToRoadway_Value,TrafficControlMechanicalDevice,WorkZoneRelated,Year,Meteorological Season,MonthName,DaytimeNighttime_NHTSA,ThreeHourLabel,Hour,CrashType,AlcoholInvolved,SpeedRelated,CommercialMotorVehiclesInvolved,PedestrianInvolved,BicycleInvolved,MotorcycleInvolved,MopedInvolved,TrainRelated,SchoolZoneInvolved,TeenDriverInvolved,DistractedDriverInvolved,DriverTextingInvolved,DriverUsingCellPhone,Single_Multi_Vehicle,Jurisdiction,TownName,LocationTypeName,Latitude,Longitude,Interstate_NonInterstate,RoadName,RouteNumber,RouteName,MileMarker,FunctionalClassCode,AtIntersection,SecondaryLocation,MatureDriverInvolved,MatureDriverFatalities,MatureDriverInjuries,LargeTruckInvolved,PedestrianFatalities,PedestrianInjuries,MotorcycleFatalities,MotorcycleInjuries,BicycleFatalities,BicycleInjuries,DistractedDriverFatalities,DistractedDriverInjuries,UnrestrainedInjuries,Number_Of_Fatalities,Number_Of_Injuries,Crash_UID,Is_Fatal,Is_Severe,Is_Minor,SeverityLabel
2,2022-10-04,14:39:00,Tuesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Stop Sign,Dry,Intersection Area,Within Intersection,Yes - Working,No,2022,Autumn,October,Daytime,Noon - 2:59pm,14,Injury Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Loudoun County,,Urban,38.99929,-77.42921,Non-Interstate,,864.0,GLENN DR,,Local,At Intersection,BELFORT PARK DR,No,0,0,No,0,0,0,0,0,0,0,0,1,0,2,c6140790,0,1,0,Severe
2,2023-04-01,20:30:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Wet,Intersection Area,Non-Intersection,No Traffic Control Device Present,No,2023,Spring,April,Nighttime,6:00pm - 8:59pm,20,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Henrico County,,Urban,37.63705,-77.55171,Non-Interstate,US-250E,250.0,BROAD ST,156.93,Other Principal Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8539193,0,0,1,Minor
2,2023-07-22,08:10:00,Saturday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2023,Summer,July,Daytime,6:00am - 8:59am,8,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.81138,-77.22169,Non-Interstate,SC-620W (FAIRFAX COUNTY),620.0,BRADDOCK RD,17.3,Minor Arterial,At Intersection,PORT ROYAL RD,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c4419549,0,0,1,Minor
2,2024-03-30,17:00:00,Saturday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Signal,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Spring,March,Daytime,3:00pm - 5:59pm,17,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,Herndon,Urban,38.96538,-77.39731,Non-Interstate,UR-6662S (TOWN OF HERNDON),,ELDEN ST,0.17,Minor Arterial,At Intersection,ALABAMA DR,No,0,0,No,0,0,0,0,0,0,0,0,0,0,2,c8649060,0,1,0,Severe
2,2024-03-14,17:15:00,Thursday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Two Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2024,Spring,March,Daytime,3:00pm - 5:59pm,17,Property Damage Crash,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Chesapeake City,,Urban,36.84843,-76.43047,Non-Interstate,UR-8529N (CITY OF CHESAPEAKE),,PUGHSVILLE RD,0.79,Minor Arterial,At Intersection,I-664 RAMP,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c6416382,0,0,1,Minor
2,2024-10-07,16:00:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Autumn,October,Daytime,3:00pm - 5:59pm,16,Injury Crash,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Multiple Vehicle Crashes,Montgomery County,Blacksburg,Urban,37.25372,-80.41083,Non-Interstate,BUS US-460E (8 TOWN OF BLACKSBURG),460.0,MAIN ST,1.32,Minor Arterial,At Intersection,RED MAPLE DR,No,0,0,No,0,0,0,0,0,0,0,1,0,0,1,c7087639,0,0,1,Minor
2,2024-03-05,18:40:00,Tuesday,Other,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Spring,March,Nighttime,6:00pm - 8:59pm,18,Injury Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Danville City,,Urban,36.5837,-79.42775,Non-Interstate,BUS US-58W (14 CITY OF DANVILLE),58.0,RIVERSIDE DR,6.95,Other Principal Arterial,At Intersection,RIVERVIEW DR,No,0,0,No,0,0,0,0,0,0,0,0,0,0,2,c6604537,0,1,0,Severe
2,2022-04-10,17:05:00,Sunday,Backed Into,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Dusk,Dusk,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Pedestrian Crosswalk,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2022,Spring,April,Daytime,3:00pm - 5:59pm,17,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Hampton City,,Urban,37.04332,-76.39361,,,,VON SCHILLING DR,,,At Intersection,CLAIBORNE SQ,Yes,0,1,No,0,0,0,0,0,0,0,0,0,0,2,c6004609,0,1,0,Severe
2,2023-12-08,01:12:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Lanes Marked,Dry,Other Location,"Driveway, Alley-Access - Related",No Traffic Control Device Present,No,2023,Winter,December,Nighttime,Midnight - 2:59am,1,Injury Crash,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Arlington County,,Urban,38.8839,-77.09926,Non-Interstate,CR-6608W (ARLINGTON COUNTY),6608.0,WILSON BLVD,2.73,Other Principal Arterial,At Intersection,JACKSON ST,No,0,0,No,0,0,0,0,0,1,0,0,0,0,2,c9476760,0,1,0,Severe
2,2024-10-19,13:28:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Straight,Not Provided,No,Four Approaches,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Autumn,October,Daytime,Noon - 2:59pm,13,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Albemarle County,,Urban,38.06362,-78.49036,Non-Interstate,US-29S,29.0,SEMINOLE TRL,139.83,Other Principal Arterial,At Intersection,BOND ST,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c6161168,0,0,1,Minor
2,2022-01-30,14:05:00,Sunday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Activity Area,No Adverse Condition (Clear/Cloud),Straight - Level,No Workers Present,No,Not at Intersection,Work on Shoulder or Median,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,Yes,2022,Winter,January,Daytime,Noon - 2:59pm,14,Injury Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Prince William County,,Urban,38.802,-77.5116,Interstate,I-66E,66.0,I-66,47.69,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,3,c8818996,0,1,0,Severe
2,2023-03-07,15:53:00,Tuesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Spring,March,Daytime,3:00pm - 5:59pm,15,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.84444,-77.43906,Interstate,I-66W,66.0,I-66,52.99,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c4747508,0,0,1,Minor
2,2024-10-03,07:42:00,Thursday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Autumn,October,Daytime,6:00am - 8:59am,7,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Va. Beach City,,Urban,36.78437,-75.9679,,UR-8688E (CITY OF VIRGINIA BEACH),0.0,DAM NECK RD,6.21,,At Intersection,FIELDSTONE GLEN WAY,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c3197865,0,0,1,Minor
2,2024-05-05,17:38:00,Sunday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"One-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Curve - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2024,Spring,May,Daytime,3:00pm - 5:59pm,17,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Petersburg City,,Urban,37.22637,-77.39427,Interstate,I-95N,95.0,I-95,52.12,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c1569658,0,0,1,Minor
2,2024-08-10,14:30:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Summer,August,Daytime,Noon - 2:59pm,14,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Petersburg City,,Urban,37.22047,-77.39098,Interstate,I-95N,95.0,I-95,51.27,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c4685424,0,0,1,Minor
2,2023-05-19,16:03:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2023,Spring,May,Daytime,3:00pm - 5:59pm,16,Injury Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Chesapeake City,,Urban,36.69117,-76.24904,Non-Interstate,UR-8663S (CITY OF CHESAPEAKE),,JOHNSTOWN RD,4.35,Minor Arterial,At Intersection,WATERS RD,Yes,0,1,No,0,0,0,0,0,0,0,0,0,0,2,c1143929,0,1,0,Severe
2,2024-12-08,11:50:00,Sunday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Passing Lines,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Winter,December,Daytime,9:00am - 11:59am,11,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Pittsylvania County,,Urban,36.63089,-79.33821,Non-Interstate,SC-729S (PITTSYLVANIA COUNTY),729.0,KENTUCK RD,2.17,Major Collector,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8067863,0,0,1,Minor
3,2024-08-21,22:35:00,Wednesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,No Traffic Control,Dry,Intersection Area,Within Intersection,No Traffic Control Device Present,No,2024,Summer,August,Nighttime,9:00pm - 11:59pm,22,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.78202,-77.06178,Non-Interstate,SC-629N (FAIRFAX COUNTY),629.0,FORT HUNT RD,5.23,Minor Arterial,At Intersection,GLEN DR,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c1062444,0,0,1,Minor
2,2024-09-12,16:44:00,Thursday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Two Approaches,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Autumn,September,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Multiple Vehicle Crashes,Rockbridge County,,Rural,37.93108,-79.21804,Non-Interstate,SC-606E (ROCKBRIDGE COUNTY),606.0,RAPHINE RD,5.37,Major Collector,At Intersection,MCCORMICK FARM CIR,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c6500915,0,0,1,Minor
1,2024-04-30,20:07:00,Tuesday,Fixed Object - Off Road,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Dusk,Dusk,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Other,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Spring,April,Nighttime,6:00pm - 8:59pm,20,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Suffolk City,,Urban,36.73345,-76.57759,Non-Interstate,UR-8501S (CITY OF SUFFOLK),8501.0,PINNER ST,0.44,Major Collector,At Intersection,NEWPORT ST,No,0,0,No,0,0,0,0,0,0,0,0,1,0,1,c5227364,0,0,1,Minor
2,2022-10-21,14:25:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,Intersection at end of Ramp,Yes - Working,No,2022,Autumn,October,Daytime,Noon - 2:59pm,14,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Henrico County,,Urban,37.54395,-77.39482,Non-Interstate,VA-33E,33.0,NINE MILE RD,3.51,Minor Arterial,At Intersection,I-64 RAMP,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c5949303,0,0,1,Minor
1,2023-10-11,20:44:00,Wednesday,Deer,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Autumn,October,Nighttime,6:00pm - 8:59pm,20,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Washington County,,Rural,36.70087,-82.04333,Non-Interstate,SC-611S (WASHINGTON COUNTY),611.0,PROVIDENCE RD,2.99,Local,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8964183,0,0,1,Minor
2,2023-10-27,15:10:00,Friday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Autumn,October,Daytime,3:00pm - 5:59pm,15,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.76733,-77.18315,Interstate,I-95S,95.0,I-95,169.38,Interstate,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c3323006,0,0,1,Minor
3,2022-10-11,21:34:00,Tuesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Intersection Area,Non-Intersection,No Traffic Control Device Present,No,2022,Autumn,October,Nighttime,9:00pm - 11:59pm,21,Property Damage Crash,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Lynchburg City,,Urban,37.40148,-79.16571,Non-Interstate,BROOK ST (PR - CITY OF LYNCHBURG),,BROOK ST,0.06,Local,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8453449,0,0,1,Minor
2,2022-04-15,14:00:00,Friday,Sideswipe - Same Direction,In Parking Lane or Zone,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Straight,Not Provided,No,Not at Intersection,Not Provided,Other,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2022,Spring,April,Daytime,Noon - 2:59pm,14,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Lexington City,,Urban,37.78545,-79.44247,Non-Interstate,UR-4261N (CITY OF LEXINGTON),4261.0,WASHINGTON ST,0.42,Major Collector,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c9786792,0,0,1,Minor
2,2023-08-02,16:33:00,Wednesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Summer,August,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Alexandria City,,Urban,38.82287,-77.12605,Interstate,I-395S,395.0,I-395,4.39,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8217814,0,0,1,Minor
2,2023-02-25,13:49:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,Rain,Hillcrest - Straight,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Non-Intersection,Yes - Working,No,2023,Winter,February,Daytime,Noon - 2:59pm,13,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Chesterfield County,,Urban,37.50728,-77.673,Non-Interstate,US-60W,60.0,MIDLOTHIAN TPKE,175.83,Other Principal Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c3606452,0,0,1,Minor
2,2023-07-04,22:15:00,Tuesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Stop Sign,Dry,Intersection Area,Within Intersection,Yes - Working,No,2023,Summer,July,Nighttime,9:00pm - 11:59pm,22,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Loudoun County,Leesburg,Urban,39.11712,-77.57074,Non-Interstate,BUS VA-7E (2 TOWN OF LEESBURG),7.0,MARKET ST,0.72,Minor Arterial,At Intersection,AYR ST,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c5622811,0,0,1,Minor
2,2023-09-08,15:40:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,Rain,Straight - Level,Not Provided,No,Two Approaches,Not Provided,Traffic Lanes Marked,Wet,Intersection,Intersection Related - Outside 150 Feet,Yes - Working,No,2023,Autumn,September,Daytime,3:00pm - 5:59pm,15,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Washington County,,Rural,36.78213,-81.73486,Non-Interstate,US-11N,11.0,LEE HWY,30.61,Minor Arterial,At Intersection,FARIS DR,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c1727456,0,0,1,Minor
1,2024-07-02,03:00:00,Tuesday,Fixed Object - Off Road,Roadside,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Curve - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Intersection Area,Non-Intersection,No Traffic Control Device Present,No,2024,Summer,July,Nighttime,3:00am - 5:59am,3,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Single Vehicle Crashes,Smyth County,,Rural,36.83594,-81.59622,Non-Interstate,SC-645S (SMYTH COUNTY),645.0,WASSUM VALLEY RD,9.27,Minor Collector,At Intersection,FOX VALLEY RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c2601508,0,0,1,Minor
2,2022-08-19,00:05:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2022,Summer,August,Nighttime,Midnight - 2:59am,0,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Newport News City,,Urban,37.09387,-76.45893,Non-Interstate,US-17N,17.0,J CLYDE MORRIS BLVD,57.28,Other Principal Arterial,At Intersection,LOUISE DR,Yes,0,1,No,0,0,0,0,0,0,0,0,0,0,3,c1447725,0,1,0,Severe
2,2023-10-01,15:50:00,Sunday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Curve,Not Provided,No,Three Approaches,Not Provided,No Passing Lines,Dry,Intersection Area,Within Intersection,Yes - Working,No,2023,Autumn,October,Daytime,3:00pm - 5:59pm,15,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Amherst County,,Rural,37.73751,-79.25369,Non-Interstate,SC-634S (AMHERST COUNTY),634.0,COFFEYTOWN RD,0.0,Local,At Intersection,LEXINGTON TPKE,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c5804738,0,0,1,Minor
2,2024-01-14,12:20:00,Sunday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Winter,January,Daytime,Noon - 2:59pm,12,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Norfolk City,,Urban,36.85065,-76.19626,Interstate,I-64E,64.0,I-64,284.35,Interstate,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c2363847,0,0,1,Minor
2,2024-10-01,16:10:00,Tuesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Straight,Not Provided,No,Two Approaches,Not Provided,No Traffic Control,Dry,Interchange Area,Main-Line Roadway,No Traffic Control Device Present,No,2024,Autumn,October,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Prince William County,Haymarket,Urban,38.81338,-77.64632,Non-Interstate,US-15N,15.0,JAMES MADISON HWAY,195.36,Other Principal Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c6839040,0,0,1,Minor
